name,type,lon,lat
Eunos,MRT,103.90367690667706,1.319754374723856
Expo,MRT,103.96248105016612,1.3352726745442
Farrer Park,MRT,103.85437884040043,1.3124852983075663
Farrer Road,MRT,103.8074974216313,1.3174487207816505
Fort Canning,MRT,103.84434196429983,1.2924804349817807
Gardens by the Bay,MRT,103.86796672491943,1.2792298065491057
Geylang Bahru,MRT,103.87193428974054,1.3215197628950504
Great World,MRT,103.8333228536247,1.2946081138578391
Gul Circle,MRT,103.66046349922026,1.319803972773796
HarbourFront,MRT,103.8215035587752,1.2655718797324054
Havelock,MRT,103.8336508462726,1.2885893906802177
Haw Par Villa,MRT,103.7817771471972,1.2824195499080993
Hillview,MRT,103.76749909191598,1.3623401843388925
Holland Village,MRT,103.796406422325,1.3116954445898479
Hougang,MRT,103.89247161644774,1.3711648279305273
Hume,MRT,103.76911885537446,1.3544660710668774
Jalan Besar,MRT,103.85548398837139,1.3053759640799414
Joo Koon,MRT,103.67828408421772,1.3277221689167635
Jurong East,MRT,103.74224086306364,1.3332059869396933
Kaki Bukit,MRT,103.90841576623647,1.3350101408186053
Kallang,MRT,103.87130447447194,1.311417975256501
Katong Park,MRT,103.88608624692368,1.297907012303978
Kembangan,MRT,103.91293818572781,1.3210400384959884
Kent Ridge,MRT,103.78467779614755,1.2933643210245402
Keppel,MRT,103.83111,1.27
Khatib,MRT,103.83304123592825,1.417527223713464
King Albert Park,MRT,103.78393066909585,1.3356272159414306
Kovan,MRT,103.88506445846532,1.360188283559291
Kranji,MRT,103.76214523212919,1.425280719124188
Labrador Park,MRT,103.80301752218998,1.272322845097691
Lakeside,MRT,103.72089503919294,1.3442568675042452
Lavender,MRT,103.86278559549002,1.3072956526878783
Lentor,MRT,103.83633017344233,1.3846758812778133
Little India,MRT,103.84981983665644,1.3069225140467393
Lorong Chuan,MRT,103.86395691218054,1.3515883294913362
MacPherson,MRT,103.8902375215697,1.3263488026083867
Marina Bay,MRT,103.85529884518238,1.2751158912836795
Marina South Pier,MRT,103.86299733957459,1.271394025223439
Marine Parade,MRT,103.90558585049932,1.3028556927815098
Marine Terrace,MRT,103.91499189540679,1.3067009640288614
Marsiling,MRT,103.77423367986759,1.4326209606588458
Marymount,MRT,103.83952886946443,1.3486655959667977
Mattar,MRT,103.88325157624439,1.3268646684980558
Maxwell,MRT,103.8438937840675,1.2805972442080014
Mayflower,MRT,103.83689640021157,1.3722396674010033
Mountbatten,MRT,103.88243943267956,1.3062615069045789
Napier,MRT,103.81916006210584,1.3067802477175745
Newton,MRT,103.83811890988287,1.3135014198212422
Nicoll Highway,MRT,103.86356510241595,1.299792164676859
Novena,MRT,103.84384107403157,1.320468652900193
one-north,MRT,103.78741043956208,1.299649601331191
Orchard,MRT,103.83137386488238,1.3030506222256308
Orchard Boulevard,MRT,103.82393771233933,1.3030154902330418
Outram Park,MRT,103.83919170849197,1.2811751815648713
Pasir Panjang,MRT,103.79136564494509,1.276237324912408
Pasir Ris,MRT,103.94925762277816,1.3729521933043463
Paya Lebar,MRT,103.89225965799136,1.3174118134078245
Pioneer,MRT,103.69741660884391,1.3375880695076232
Potong Pasir,MRT,103.86904488510498,1.3315224179686609
Prince Edward Road,MRT,103.84722,1.27333
Promenade,MRT,103.86066936436008,1.2931419392259786
Punggol,MRT,103.90235567453458,1.405100159925522
Punggol Coast,MRT,103.91014373534574,1.4149634841775878
Queenstown,MRT,103.80604512051876,1.2946109640587522
Raffles Place,MRT,103.85135535212463,1.2838250040639283
Redhill,MRT,103.81674275508308,1.2895874345226972
Rochor,MRT,103.8524494112791,1.3039279352711708
Sembawang,MRT,103.82034232716681,1.4490966009393198
Sengkang,MRT,103.89541654782826,1.3915239188776676
Serangoon,MRT,103.87360280910674,1.3496730089599738
Shenton Way,MRT,103.85083033019218,1.2775923572782464
Siglap,MRT,103.9301216058871,1.3095899454189757
Simei,MRT,103.95337654744196,1.3431967920527448
Sixth Avenue,MRT,103.79738997537494,1.3307966512975964
Somerset,MRT,103.83915805200058,1.300355605536857
Springleaf,MRT,103.81785914057417,1.398165902293376
Stadium,MRT,103.87534074153669,1.3028756852245964
Stevens,MRT,103.82556486988845,1.3194073418285541
Tai Seng,MRT,103.88812861946684,1.3353908384917461
Tampines,MRT,103.94307906110892,1.355042604758483
Tampines East,MRT,103.95465592948315,1.3562611911087106
Tampines West,MRT,103.93850583693428,1.3456925380070393
Tan Kah Kee,MRT,103.80725809707607,1.3258874614701481
Tanah Merah,MRT,103.94656192124643,1.327260742469232
Tanjong Katong,MRT,103.89736392529478,1.299596278588886
Tanjong Pagar,MRT,103.84596187733682,1.2764200807839252
Tanjong Rhu,MRT,103.87345926242384,1.2973178363981341
Telok Ayer,MRT,103.84827920345498,1.2823030769344772
Telok Blangah,MRT,103.80974928445788,1.2705794594471609
Tiong Bahru,MRT,103.82695950339777,1.2861287975419988
Toa Payoh,MRT,103.84714329467594,1.3326438569248733
Tuas Crescent,MRT,103.64903212126376,1.321073512061977
Tuas Link,MRT,103.63687640891185,1.3403301988516967
